filepath,filename,emotion,emotion_code,intensity,statement,repetition,actor,gender,vocal_channel,modality
Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,happy,03,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,happy,03,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,happy,03,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,happy,03,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,happy,03,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,happy,03,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,sad,04,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,sad,04,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,sad,04,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,sad,04,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,sad,04,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,sad,04,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,sad,04,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,sad,04,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,angry,05,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,angry,05,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,angry,05,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,angry,05,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,angry,05,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,angry,05,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,angry,05,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,angry,05,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,fearful,06,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,fearful,06,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,fearful,06,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,fearful,06,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,fearful,06,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,fearful,06,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,fearful,06,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,fearful,06,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,disgust,07,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,disgust,07,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,disgust,07,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,disgust,07,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,disgust,07,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,disgust,07,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,disgust,07,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,disgust,07,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,surprised,08,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,surprised,08,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01.wav,surprised,08,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01.wav,surprised,08,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01.wav,surprised,08,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01.wav,surprised,08,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01.wav,surprised,08,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01.wav,surprised,08,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,neutral,01,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,neutral,01,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,neutral,01,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,neutral,01,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-02-01-01-01-02.wav,03-01-02-01-01-01-02.wav,calm,02,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-02-01-01-02-02.wav,03-01-02-01-01-02-02.wav,calm,02,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-02-01-02-01-02.wav,03-01-02-01-02-01-02.wav,calm,02,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-02-01-02-02-02.wav,03-01-02-01-02-02-02.wav,calm,02,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-02-02-01-01-02.wav,03-01-02-02-01-01-02.wav,calm,02,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-02-02-01-02-02.wav,03-01-02-02-01-02-02.wav,calm,02,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-02-02-02-01-02.wav,03-01-02-02-02-01-02.wav,calm,02,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-02-02-02-02-02.wav,03-01-02-02-02-02-02.wav,calm,02,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-03-01-01-01-02.wav,03-01-03-01-01-01-02.wav,happy,03,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-03-01-01-02-02.wav,03-01-03-01-01-02-02.wav,happy,03,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-03-01-02-01-02.wav,03-01-03-01-02-01-02.wav,happy,03,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-03-01-02-02-02.wav,03-01-03-01-02-02-02.wav,happy,03,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-03-02-01-01-02.wav,03-01-03-02-01-01-02.wav,happy,03,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-03-02-01-02-02.wav,03-01-03-02-01-02-02.wav,happy,03,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-03-02-02-01-02.wav,03-01-03-02-02-01-02.wav,happy,03,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-03-02-02-02-02.wav,03-01-03-02-02-02-02.wav,happy,03,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-04-01-01-01-02.wav,03-01-04-01-01-01-02.wav,sad,04,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-04-01-01-02-02.wav,03-01-04-01-01-02-02.wav,sad,04,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-04-01-02-01-02.wav,03-01-04-01-02-01-02.wav,sad,04,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-04-01-02-02-02.wav,03-01-04-01-02-02-02.wav,sad,04,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-04-02-01-01-02.wav,03-01-04-02-01-01-02.wav,sad,04,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-04-02-01-02-02.wav,03-01-04-02-01-02-02.wav,sad,04,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-04-02-02-01-02.wav,03-01-04-02-02-01-02.wav,sad,04,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-04-02-02-02-02.wav,03-01-04-02-02-02-02.wav,sad,04,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-05-01-01-01-02.wav,03-01-05-01-01-01-02.wav,angry,05,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-05-01-01-02-02.wav,03-01-05-01-01-02-02.wav,angry,05,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-05-01-02-01-02.wav,03-01-05-01-02-01-02.wav,angry,05,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-05-01-02-02-02.wav,03-01-05-01-02-02-02.wav,angry,05,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-05-02-01-01-02.wav,03-01-05-02-01-01-02.wav,angry,05,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-05-02-01-02-02.wav,03-01-05-02-01-02-02.wav,angry,05,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-05-02-02-01-02.wav,03-01-05-02-02-01-02.wav,angry,05,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-05-02-02-02-02.wav,03-01-05-02-02-02-02.wav,angry,05,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-06-01-01-01-02.wav,03-01-06-01-01-01-02.wav,fearful,06,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-06-01-01-02-02.wav,03-01-06-01-01-02-02.wav,fearful,06,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-06-01-02-01-02.wav,03-01-06-01-02-01-02.wav,fearful,06,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-06-01-02-02-02.wav,03-01-06-01-02-02-02.wav,fearful,06,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-06-02-01-01-02.wav,03-01-06-02-01-01-02.wav,fearful,06,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-06-02-01-02-02.wav,03-01-06-02-01-02-02.wav,fearful,06,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-06-02-02-01-02.wav,03-01-06-02-02-01-02.wav,fearful,06,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-06-02-02-02-02.wav,03-01-06-02-02-02-02.wav,fearful,06,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-07-01-01-01-02.wav,03-01-07-01-01-01-02.wav,disgust,07,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-07-01-01-02-02.wav,03-01-07-01-01-02-02.wav,disgust,07,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-07-01-02-01-02.wav,03-01-07-01-02-01-02.wav,disgust,07,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-07-01-02-02-02.wav,03-01-07-01-02-02-02.wav,disgust,07,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-07-02-01-01-02.wav,03-01-07-02-01-01-02.wav,disgust,07,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-07-02-01-02-02.wav,03-01-07-02-01-02-02.wav,disgust,07,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-07-02-02-01-02.wav,03-01-07-02-02-01-02.wav,disgust,07,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-07-02-02-02-02.wav,03-01-07-02-02-02-02.wav,disgust,07,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-08-01-01-01-02.wav,03-01-08-01-01-01-02.wav,surprised,08,normal,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-08-01-01-02-02.wav,03-01-08-01-01-02-02.wav,surprised,08,normal,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-08-01-02-01-02.wav,03-01-08-01-02-01-02.wav,surprised,08,normal,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-08-01-02-02-02.wav,03-01-08-01-02-02-02.wav,surprised,08,normal,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_02\03-01-08-02-01-01-02.wav,03-01-08-02-01-01-02.wav,surprised,08,strong,Kids are talking by the door,01,2,female,speech,audio-only
Actor_02\03-01-08-02-01-02-02.wav,03-01-08-02-01-02-02.wav,surprised,08,strong,Kids are talking by the door,02,2,female,speech,audio-only
Actor_02\03-01-08-02-02-01-02.wav,03-01-08-02-02-01-02.wav,surprised,08,strong,Dogs are sitting by the door,01,2,female,speech,audio-only
Actor_02\03-01-08-02-02-02-02.wav,03-01-08-02-02-02-02.wav,surprised,08,strong,Dogs are sitting by the door,02,2,female,speech,audio-only
Actor_03\03-01-01-01-01-01-03.wav,03-01-01-01-01-01-03.wav,neutral,01,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-01-01-01-02-03.wav,03-01-01-01-01-02-03.wav,neutral,01,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-01-01-02-01-03.wav,03-01-01-01-02-01-03.wav,neutral,01,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-01-01-02-02-03.wav,03-01-01-01-02-02-03.wav,neutral,01,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-02-01-01-01-03.wav,03-01-02-01-01-01-03.wav,calm,02,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-02-01-01-02-03.wav,03-01-02-01-01-02-03.wav,calm,02,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-02-01-02-01-03.wav,03-01-02-01-02-01-03.wav,calm,02,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-02-01-02-02-03.wav,03-01-02-01-02-02-03.wav,calm,02,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-02-02-01-01-03.wav,03-01-02-02-01-01-03.wav,calm,02,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-02-02-01-02-03.wav,03-01-02-02-01-02-03.wav,calm,02,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-02-02-02-01-03.wav,03-01-02-02-02-01-03.wav,calm,02,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-02-02-02-02-03.wav,03-01-02-02-02-02-03.wav,calm,02,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-03-01-01-01-03.wav,03-01-03-01-01-01-03.wav,happy,03,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-03-01-01-02-03.wav,03-01-03-01-01-02-03.wav,happy,03,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-03-01-02-01-03.wav,03-01-03-01-02-01-03.wav,happy,03,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-03-01-02-02-03.wav,03-01-03-01-02-02-03.wav,happy,03,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-03-02-01-01-03.wav,03-01-03-02-01-01-03.wav,happy,03,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-03-02-01-02-03.wav,03-01-03-02-01-02-03.wav,happy,03,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-03-02-02-01-03.wav,03-01-03-02-02-01-03.wav,happy,03,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-03-02-02-02-03.wav,03-01-03-02-02-02-03.wav,happy,03,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-04-01-01-01-03.wav,03-01-04-01-01-01-03.wav,sad,04,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-04-01-01-02-03.wav,03-01-04-01-01-02-03.wav,sad,04,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-04-01-02-01-03.wav,03-01-04-01-02-01-03.wav,sad,04,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-04-01-02-02-03.wav,03-01-04-01-02-02-03.wav,sad,04,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-04-02-01-01-03.wav,03-01-04-02-01-01-03.wav,sad,04,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-04-02-01-02-03.wav,03-01-04-02-01-02-03.wav,sad,04,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-04-02-02-01-03.wav,03-01-04-02-02-01-03.wav,sad,04,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-04-02-02-02-03.wav,03-01-04-02-02-02-03.wav,sad,04,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-05-01-01-01-03.wav,03-01-05-01-01-01-03.wav,angry,05,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-05-01-01-02-03.wav,03-01-05-01-01-02-03.wav,angry,05,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-05-01-02-01-03.wav,03-01-05-01-02-01-03.wav,angry,05,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-05-01-02-02-03.wav,03-01-05-01-02-02-03.wav,angry,05,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-05-02-01-01-03.wav,03-01-05-02-01-01-03.wav,angry,05,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-05-02-01-02-03.wav,03-01-05-02-01-02-03.wav,angry,05,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-05-02-02-01-03.wav,03-01-05-02-02-01-03.wav,angry,05,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-05-02-02-02-03.wav,03-01-05-02-02-02-03.wav,angry,05,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-06-01-01-01-03.wav,03-01-06-01-01-01-03.wav,fearful,06,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-06-01-01-02-03.wav,03-01-06-01-01-02-03.wav,fearful,06,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-06-01-02-01-03.wav,03-01-06-01-02-01-03.wav,fearful,06,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-06-01-02-02-03.wav,03-01-06-01-02-02-03.wav,fearful,06,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-06-02-01-01-03.wav,03-01-06-02-01-01-03.wav,fearful,06,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-06-02-01-02-03.wav,03-01-06-02-01-02-03.wav,fearful,06,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-06-02-02-01-03.wav,03-01-06-02-02-01-03.wav,fearful,06,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-06-02-02-02-03.wav,03-01-06-02-02-02-03.wav,fearful,06,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-07-01-01-01-03.wav,03-01-07-01-01-01-03.wav,disgust,07,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-07-01-01-02-03.wav,03-01-07-01-01-02-03.wav,disgust,07,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-07-01-02-01-03.wav,03-01-07-01-02-01-03.wav,disgust,07,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-07-01-02-02-03.wav,03-01-07-01-02-02-03.wav,disgust,07,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-07-02-01-01-03.wav,03-01-07-02-01-01-03.wav,disgust,07,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-07-02-01-02-03.wav,03-01-07-02-01-02-03.wav,disgust,07,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-07-02-02-01-03.wav,03-01-07-02-02-01-03.wav,disgust,07,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-07-02-02-02-03.wav,03-01-07-02-02-02-03.wav,disgust,07,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-08-01-01-01-03.wav,03-01-08-01-01-01-03.wav,surprised,08,normal,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-08-01-01-02-03.wav,03-01-08-01-01-02-03.wav,surprised,08,normal,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-08-01-02-01-03.wav,03-01-08-01-02-01-03.wav,surprised,08,normal,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-08-01-02-02-03.wav,03-01-08-01-02-02-03.wav,surprised,08,normal,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_03\03-01-08-02-01-01-03.wav,03-01-08-02-01-01-03.wav,surprised,08,strong,Kids are talking by the door,01,3,male,speech,audio-only
Actor_03\03-01-08-02-01-02-03.wav,03-01-08-02-01-02-03.wav,surprised,08,strong,Kids are talking by the door,02,3,male,speech,audio-only
Actor_03\03-01-08-02-02-01-03.wav,03-01-08-02-02-01-03.wav,surprised,08,strong,Dogs are sitting by the door,01,3,male,speech,audio-only
Actor_03\03-01-08-02-02-02-03.wav,03-01-08-02-02-02-03.wav,surprised,08,strong,Dogs are sitting by the door,02,3,male,speech,audio-only
Actor_04\03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,neutral,01,normal,Kids are talking by the door,01,4,female,speech,audio-only
Actor_04\03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,neutral,01,normal,Kids are talking by the door,02,4,female,speech,audio-only
Actor_04\03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,neutral,01,normal,Dogs are sitting by the door,01,4,female,speech,audio-only
Actor_04\03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,neutral,01,normal,Dogs are sitting by the door,02,4,female,speech,audio-only
Actor_04\03-01-02-01-01-01-04.wav,03-01-02-01-01-01-04.wav,calm,02,normal,Kids are talking by the door,01,4,female,speech,audio-only
Actor_04\03-01-02-01-01-02-04.wav,03-01-02-01-01-02-04.wav,calm,02,normal,Kids are talking by the door,02,4,female,speech,audio-only
Actor_04\03-01-02-01-02-01-04.wav,03-01-02-01-02-01-04.wav,calm,02,normal,Dogs are sitting by the door,01,4,female,speech,audio-only
Actor_04\03-01-02-01-02-02-04.wav,03-01-02-01-02-02-04.wav,calm,02,normal,Dogs are sitting by the door,02,4,female,speech,audio-only
Actor_04\03-01-02-02-01-01-04.wav,03-01-02-02-01-01-04.wav,calm,02,strong,Kids are talking by the door,01,4,female,speech,audio-only
